Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco,G_CHO - Gco,Difference
NH,C,2.00,1.00,1.00,0.00,4.00,6.00,2.62,2.55,0.52,0.75,14.07,11.26,12.80,11.26,0.34,1.26,1.38,1.70,6.00,4.00,1.50,0.50,5.00,2.59,0.64,12.66,12.03,0.80,1.54,5.00,0.07,5.17,0.23,1.27,0.33,3.08,2.81,25.33,0.92,1.60,2.00,10.00,1.54,24.06,0.64,6.68,0.40,160.35,2.36,25.00,25.00,144.72,,,
NH,CH,2.00,2.00,1.00,1.00,4.00,3.50,2.62,2.38,0.52,0.54,14.07,12.43,12.80,10.64,0.34,1.01,1.38,1.45,6.00,5.00,2.00,1.00,3.75,2.50,0.53,13.25,11.72,0.68,1.41,5.50,0.25,5.00,0.02,1.06,0.08,2.83,1.64,26.50,0.67,1.35,1.00,11.00,2.16,23.44,0.46,6.24,0.28,175.50,2.00,14.06,30.25,137.36,-0.00049 ,0.10656 ,-0.10705 
NH,CH2,2.00,3.00,1.00,2.00,4.00,2.67,2.62,2.32,0.52,0.46,14.07,12.82,12.80,10.40,0.34,0.92,1.38,1.37,6.00,6.00,2.50,1.50,3.33,2.47,0.49,13.44,11.60,0.63,1.37,6.00,0.30,4.94,0.06,0.98,0.01,2.74,1.25,26.88,0.58,1.26,0.00,12.00,2.40,23.20,0.40,6.09,0.24,180.70,1.88,11.11,36.00,134.56,,,
NH,CH3,2.00,4.00,1.00,3.00,4.00,2.25,2.62,2.29,0.52,0.43,14.07,13.01,12.80,9.84,0.34,0.88,1.38,1.33,6.00,7.00,3.00,2.00,3.13,2.45,0.48,13.54,11.32,0.61,1.35,6.50,0.33,4.91,0.09,0.95,0.05,2.70,1.05,27.08,0.54,1.22,1.00,13.00,2.96,22.64,0.37,6.02,0.23,183.32,1.82,9.77,42.25,128.14,0.05617 ,0.29963 ,-0.24345 
NH,S,2.00,1.00,1.00,0.00,4.00,16.00,2.62,2.58,0.52,1.03,14.07,10.36,12.80,10.36,0.34,2.08,1.38,1.80,6.00,6.00,1.50,0.50,10.00,2.60,0.78,12.21,11.58,1.21,1.59,6.00,0.04,5.20,0.51,1.55,0.43,3.18,3.71,24.43,1.74,2.42,0.00,12.00,2.44,23.16,1.46,6.76,0.60,149.16,2.52,100.00,36.00,134.10,,,
NH,SH,2.00,2.00,1.00,1.00,4.00,8.50,2.62,2.39,0.52,0.68,14.07,11.98,12.80,10.42,0.34,1.42,1.38,1.50,6.00,7.00,2.00,1.00,6.25,2.51,0.60,13.02,11.61,0.88,1.44,6.50,0.23,5.01,0.16,1.20,0.13,2.88,2.09,26.05,1.07,1.76,1.00,13.00,2.38,23.22,0.77,6.28,0.36,169.59,2.07,39.06,42.25,134.79,,,
NH,SH2,2.00,3.00,1.00,2.00,4.00,6.00,2.62,2.33,0.52,0.56,14.07,12.52,12.80,10.46,0.34,1.20,1.38,1.40,6.00,8.00,2.50,1.50,5.00,2.47,0.54,13.29,11.63,0.77,1.39,7.00,0.29,4.95,0.04,1.08,0.03,2.78,1.55,26.58,0.85,1.54,2.00,14.00,2.34,23.26,0.59,6.12,0.29,176.69,1.93,25.00,49.00,135.26,,,
NH,F,2.00,1.00,1.00,0.00,4.00,9.00,2.62,3.98,0.52,0.64,14.07,17.42,12.80,17.42,0.34,3.40,1.38,1.47,6.00,7.00,1.50,0.50,6.50,3.30,0.58,15.74,15.11,1.87,1.42,6.50,1.36,6.60,0.12,1.16,0.10,2.85,3.36,31.49,3.06,3.74,1.00,13.00,4.62,30.22,3.50,10.89,0.34,247.87,2.02,42.25,42.25,228.31,,,
NH,Cl,2.00,1.00,1.00,0.00,4.00,17.00,2.62,3.16,0.52,0.99,14.07,12.97,12.80,12.97,0.34,3.61,1.38,1.75,6.00,7.00,1.50,0.50,10.50,2.89,0.76,13.52,12.89,1.98,1.56,6.50,0.54,5.78,0.47,1.51,0.38,3.13,1.10,27.03,3.27,3.95,1.00,13.00,0.17,25.77,3.91,8.35,0.57,182.70,2.44,110.25,42.25,166.02,,,
NH,Br,2.00,1.00,1.00,0.00,4.00,35.00,2.62,2.96,0.52,1.14,14.07,11.81,12.80,11.81,0.34,3.36,1.38,1.85,6.00,7.00,1.50,0.50,19.50,2.79,0.83,12.94,12.31,1.85,1.61,6.50,0.34,5.58,0.62,1.66,0.48,3.23,2.25,25.88,3.02,3.71,1.00,13.00,0.99,24.61,3.43,7.78,0.69,167.44,2.60,380.25,42.25,151.41,,,
NH,I,2.00,1.00,1.00,0.00,4.00,53.00,2.62,2.66,0.52,1.33,14.07,10.45,12.80,10.45,0.34,3.06,1.38,1.98,6.00,7.00,1.50,0.50,28.50,2.64,0.93,12.26,11.63,1.70,1.68,6.50,0.04,5.28,0.81,1.85,0.61,3.36,3.62,24.52,2.72,3.40,1.00,13.00,2.35,23.25,2.89,6.97,0.86,150.27,2.81,812.25,42.25,135.14,,,
NH2,O,3.00,1.00,2.00,0.00,3.00,8.00,2.48,3.44,0.45,0.63,13.91,13.62,10.78,13.62,0.48,1.46,1.32,1.52,7.00,6.00,2.00,1.00,5.50,2.96,0.54,13.76,12.20,0.97,1.42,6.50,0.96,5.92,0.18,1.08,0.20,2.84,0.29,27.53,0.98,1.94,1.00,13.00,2.84,24.40,0.94,8.76,0.29,189.45,2.01,30.25,42.25,148.84,,,
NH2,OH,3.00,2.00,2.00,1.00,3.00,4.50,2.48,2.82,0.45,0.48,13.91,13.61,10.78,13.02,0.48,1.11,1.32,1.36,7.00,7.00,2.50,1.50,3.75,2.65,0.47,13.76,11.90,0.79,1.34,7.00,0.34,5.30,0.03,0.93,0.04,2.68,0.30,27.52,0.63,1.59,0.00,14.00,2.24,23.80,0.63,7.02,0.22,189.31,1.79,14.06,49.00,141.61,,,
NH2,N,3.00,1.00,2.00,0.00,3.00,7.00,2.48,3.04,0.45,0.71,13.91,14.53,10.78,14.53,0.48,-0.07,1.32,1.55,7.00,5.00,2.00,1.00,5.00,2.76,0.58,14.22,12.66,0.20,1.43,6.00,0.56,5.52,0.26,1.16,0.23,2.87,0.62,28.44,0.55,0.41,2.00,12.00,3.75,25.31,0.04,7.62,0.34,202.27,2.05,25.00,36.00,160.15,,,
NH2,NH,3.00,2.00,2.00,1.00,3.00,4.00,2.48,2.62,0.45,0.52,13.91,14.07,10.78,12.80,0.48,0.34,1.32,1.38,7.00,6.00,2.50,1.50,3.50,2.55,0.49,13.99,11.79,0.41,1.35,6.50,0.14,5.10,0.07,0.97,0.06,2.69,0.16,27.98,0.14,0.82,1.00,13.00,2.02,23.58,0.17,6.50,0.24,195.66,1.81,12.25,42.25,139.00,0.08443 ,0.25745 ,-0.17302 
NH2,NH2,3.00,3.00,2.00,2.00,3.00,3.00,2.48,2.48,0.45,0.45,13.91,13.91,10.78,10.78,0.48,0.48,1.32,1.32,7.00,7.00,3.00,2.00,3.00,2.48,0.45,13.91,10.78,0.48,1.32,7.00,0.00,4.96,0.00,0.90,0.00,2.63,0.00,27.82,0.00,0.96,0.00,14.00,0.00,21.56,0.23,6.15,0.20,193.49,1.73,9.00,49.00,116.21,,,
NH2,NH3,3.00,4.00,2.00,3.00,3.00,2.50,2.48,2.41,0.45,0.42,13.91,13.83,10.78,10.07,0.48,0.55,1.32,1.29,7.00,8.00,3.50,2.50,2.75,2.45,0.44,13.87,10.43,0.51,1.30,7.50,0.07,4.89,0.03,0.87,0.03,2.60,0.08,27.74,0.07,1.03,1.00,15.00,0.71,20.85,0.26,5.98,0.19,192.40,1.70,7.56,56.25,108.68,,,
NH2,C,3.00,1.00,2.00,0.00,3.00,6.00,2.48,2.55,0.45,0.75,13.91,11.26,10.78,11.26,0.48,1.26,1.32,1.70,7.00,4.00,2.00,1.00,4.50,2.52,0.60,12.59,11.02,0.87,1.51,5.50,0.07,5.03,0.30,1.20,0.38,3.02,2.65,25.17,0.78,1.74,3.00,11.00,0.48,22.04,0.76,6.33,0.36,158.38,2.28,20.25,30.25,121.44,0.14351 ,0.18926 ,-0.04575 
NH2,CH,3.00,2.00,2.00,1.00,3.00,3.50,2.48,2.38,0.45,0.54,13.91,12.43,10.78,10.64,0.48,1.01,1.32,1.45,7.00,5.00,2.50,1.50,3.25,2.43,0.50,13.17,10.71,0.74,1.38,6.00,0.11,4.86,0.09,0.99,0.13,2.77,1.48,26.34,0.53,1.49,2.00,12.00,0.14,21.42,0.55,5.89,0.25,173.44,1.91,10.56,36.00,114.70,,,
NH2,CH2,3.00,3.00,2.00,2.00,3.00,2.67,2.48,2.32,0.45,0.46,13.91,12.82,10.78,10.40,0.48,0.92,1.32,1.37,7.00,6.00,3.00,2.00,2.83,2.40,0.46,13.36,10.59,0.70,1.34,6.50,0.16,4.80,0.01,0.91,0.05,2.68,1.09,26.73,0.44,1.40,1.00,13.00,0.38,21.18,0.49,5.75,0.21,178.61,1.80,8.03,42.25,112.15,,,
NH2,CH3,3.00,4.00,2.00,3.00,3.00,2.25,2.48,2.29,0.45,0.43,13.91,13.01,10.78,9.84,0.48,0.88,1.32,1.33,7.00,7.00,3.50,2.50,2.63,2.38,0.44,13.46,10.31,0.68,1.32,7.00,0.19,4.77,0.02,0.88,0.01,2.64,0.90,26.92,0.40,1.36,0.00,14.00,0.94,20.62,0.46,5.68,0.19,181.22,1.74,6.89,49.00,106.30,,,
NH2,S,3.00,1.00,2.00,0.00,3.00,16.00,2.48,2.58,0.45,1.03,13.91,10.36,10.78,10.36,0.48,2.08,1.32,1.80,7.00,6.00,2.00,1.00,9.50,2.53,0.74,12.14,10.57,1.28,1.56,6.50,0.10,5.06,0.58,1.48,0.48,3.12,3.55,24.27,1.60,2.56,1.00,13.00,0.42,21.14,1.63,6.40,0.55,147.26,2.43,90.25,42.25,111.72,0.12770 ,0.22685 ,-0.09915 
NH2,SH,3.00,2.00,2.00,1.00,3.00,8.50,2.48,2.39,0.45,0.68,13.91,11.98,10.78,10.42,0.48,1.42,1.32,1.50,7.00,7.00,2.50,1.50,5.75,2.44,0.57,12.94,10.60,0.95,1.41,7.00,0.09,4.87,0.23,1.13,0.18,2.82,1.93,25.89,0.94,1.89,0.00,14.00,0.36,21.20,0.90,5.93,0.32,167.56,1.98,33.06,49.00,112.36,,,
NH2,SH2,3.00,3.00,2.00,2.00,3.00,6.00,2.48,2.33,0.45,0.56,13.91,12.52,10.78,10.46,0.48,1.20,1.32,1.40,7.00,8.00,3.00,2.00,4.50,2.40,0.51,13.21,10.62,0.84,1.36,7.50,0.15,4.81,0.11,1.01,0.08,2.72,1.39,26.43,0.72,1.68,1.00,15.00,0.32,21.24,0.70,5.78,0.26,174.62,1.85,20.25,56.25,112.78,,,
NH2,F,3.00,1.00,2.00,0.00,3.00,9.00,2.48,3.98,0.45,0.64,13.91,17.42,10.78,17.42,0.48,3.40,1.32,1.47,7.00,7.00,2.00,1.00,6.00,3.23,0.55,15.67,14.10,1.94,1.39,7.00,1.50,6.46,0.19,1.09,0.15,2.79,3.51,31.33,2.92,3.88,0.00,14.00,6.64,28.20,3.76,10.43,0.30,245.42,1.94,36.00,49.00,198.81,,,
NH2,Cl,3.00,1.00,2.00,0.00,3.00,17.00,2.48,3.16,0.45,0.99,13.91,12.97,10.78,12.97,0.48,3.61,1.32,1.75,7.00,7.00,2.00,1.00,10.00,2.82,0.72,13.44,11.88,2.05,1.53,7.00,0.68,5.64,0.54,1.44,0.43,3.07,0.94,26.88,3.13,4.09,0.00,14.00,2.19,23.75,4.18,7.95,0.52,180.59,2.35,100.00,49.00,141.02,,,
NH2,Br,3.00,1.00,2.00,0.00,3.00,35.00,2.48,2.96,0.45,1.14,13.91,11.81,10.78,11.81,0.48,3.36,1.32,1.85,7.00,7.00,2.00,1.00,19.00,2.72,0.80,12.86,11.30,1.92,1.58,7.00,0.48,5.44,0.69,1.59,0.53,3.17,2.10,25.72,2.88,3.84,0.00,14.00,1.03,22.59,3.69,7.40,0.63,165.43,2.51,361.00,49.00,127.58,,,
NH2,I,3.00,1.00,2.00,0.00,3.00,53.00,2.48,2.66,0.45,1.33,13.91,10.45,10.78,10.45,0.48,3.06,1.32,1.98,7.00,7.00,2.00,1.00,28.00,2.57,0.89,12.18,10.62,1.77,1.65,7.00,0.18,5.14,0.88,1.78,0.66,3.30,3.46,24.36,2.58,3.54,0.00,14.00,0.33,21.23,3.13,6.60,0.79,148.36,2.72,784.00,49.00,112.68,,,
NH3,O,4.00,1.00,3.00,0.00,2.50,8.00,2.41,3.44,0.42,0.63,13.83,13.62,10.07,13.62,0.55,1.46,1.29,1.52,8.00,6.00,2.50,1.50,5.25,2.93,0.53,13.73,11.85,1.00,1.40,7.00,1.03,5.85,0.21,1.05,0.23,2.81,0.21,27.45,0.91,2.01,2.00,14.00,3.55,23.69,1.01,8.56,0.28,188.38,1.97,27.56,49.00,140.30,,,
NH3,OH,4.00,2.00,3.00,1.00,2.50,4.50,2.41,2.82,0.42,0.48,13.83,13.61,10.07,13.02,0.55,1.11,1.29,1.36,8.00,7.00,3.00,2.00,3.50,2.62,0.45,13.72,11.55,0.83,1.32,7.50,0.41,5.23,0.06,0.90,0.07,2.65,0.22,27.44,0.56,1.66,1.00,15.00,2.95,23.09,0.69,6.84,0.20,188.24,1.75,12.25,56.25,133.29,-0.10022 ,0.12011 ,-0.22033 
NH3,N,4.00,1.00,3.00,0.00,2.50,7.00,2.41,3.04,0.42,0.71,13.83,14.53,10.07,14.53,0.55,-0.07,1.29,1.55,8.00,5.00,2.50,1.50,4.75,2.73,0.57,14.18,12.30,0.24,1.42,6.50,0.63,5.45,0.29,1.13,0.26,2.84,0.70,28.37,0.62,0.48,3.00,13.00,4.46,24.60,0.06,7.43,0.32,201.16,2.01,22.56,42.25,151.29,,,
NH3,NH,4.00,2.00,3.00,1.00,2.50,4.00,2.41,2.62,0.42,0.52,13.83,14.07,10.07,12.80,0.55,0.34,1.29,1.38,8.00,6.00,3.00,2.00,3.25,2.52,0.47,13.95,11.44,0.45,1.33,7.00,0.21,5.03,0.10,0.94,0.09,2.66,0.23,27.90,0.21,0.89,2.00,14.00,2.73,22.87,0.20,6.33,0.22,194.57,1.77,10.56,49.00,130.76,,,
NH3,NH2,4.00,3.00,3.00,2.00,2.50,3.00,2.41,2.48,0.42,0.45,13.83,13.91,10.07,10.78,0.55,0.48,1.29,1.32,8.00,7.00,3.50,2.50,2.75,2.45,0.44,13.87,10.43,0.51,1.30,7.50,0.07,4.89,0.03,0.87,0.03,2.60,0.08,27.74,0.07,1.03,1.00,15.00,0.71,20.85,0.26,5.98,0.19,192.40,1.70,7.56,56.25,108.68,,,
NH3,NH3,4.00,4.00,3.00,3.00,2.50,2.50,2.41,2.41,0.42,0.42,13.83,13.83,10.07,10.07,0.55,0.55,1.29,1.29,8.00,8.00,4.00,3.00,2.50,2.41,0.42,13.83,10.07,0.55,1.29,8.00,0.00,4.82,0.00,0.84,0.00,2.58,0.00,27.66,0.00,1.10,0.00,16.00,0.00,20.14,0.30,5.81,0.18,191.32,1.66,6.25,64.00,101.40,,,
NH3,C,4.00,1.00,3.00,0.00,2.50,6.00,2.41,2.55,0.42,0.75,13.83,11.26,10.07,11.26,0.55,1.26,1.29,1.70,8.00,4.00,2.50,1.50,4.25,2.48,0.59,12.55,10.67,0.91,1.49,6.00,0.14,4.96,0.33,1.17,0.41,2.99,2.57,25.09,0.71,1.81,4.00,12.00,1.19,21.33,0.82,6.15,0.34,157.40,2.23,18.06,36.00,113.74,0.08879 ,0.12083 ,-0.03204 
NH3,CH,4.00,2.00,3.00,1.00,2.50,3.50,2.41,2.38,0.42,0.54,13.83,12.43,10.07,10.64,0.55,1.01,1.29,1.45,8.00,5.00,3.00,2.00,3.00,2.39,0.48,13.13,10.36,0.78,1.37,6.50,0.04,4.79,0.12,0.96,0.16,2.74,1.40,26.26,0.46,1.56,3.00,13.00,0.57,20.71,0.61,5.72,0.23,172.41,1.87,9.00,42.25,107.23,,,
NH3,CH2,4.00,3.00,3.00,2.00,2.50,2.67,2.41,2.32,0.42,0.46,13.83,12.82,10.07,10.40,0.55,0.92,1.29,1.37,8.00,6.00,3.50,2.50,2.58,2.36,0.44,13.33,10.24,0.74,1.33,7.00,0.09,4.73,0.04,0.88,0.08,2.65,1.01,26.65,0.37,1.47,2.00,14.00,0.33,20.47,0.54,5.59,0.19,177.56,1.76,6.67,49.00,104.76,,,
NH3,CH3,4.00,4.00,3.00,3.00,2.50,2.25,2.41,2.29,0.42,0.43,13.83,13.01,10.07,9.84,0.55,0.88,1.29,1.33,8.00,7.00,4.00,3.00,2.38,2.35,0.43,13.42,9.96,0.71,1.31,7.50,0.12,4.70,0.01,0.85,0.04,2.61,0.82,26.85,0.33,1.43,1.00,15.00,0.23,19.91,0.51,5.52,0.18,180.17,1.71,5.64,56.25,99.10,,,
NH3,S,4.00,1.00,3.00,0.00,2.50,16.00,2.41,2.58,0.42,1.03,13.83,10.36,10.07,10.36,0.55,2.08,1.29,1.80,8.00,6.00,2.50,1.50,9.25,2.50,0.73,12.10,10.22,1.31,1.54,7.00,0.17,4.99,0.61,1.45,0.51,3.09,3.47,24.19,1.53,2.63,2.00,14.00,0.29,20.43,1.72,6.23,0.53,146.31,2.38,85.56,49.00,104.35,,,
NH3,SH,4.00,2.00,3.00,1.00,2.50,8.50,2.41,2.39,0.42,0.68,13.83,11.98,10.07,10.42,0.55,1.42,1.29,1.50,8.00,7.00,3.00,2.00,5.50,2.40,0.55,12.91,10.25,0.98,1.39,7.50,0.02,4.80,0.26,1.10,0.21,2.79,1.85,25.81,0.87,1.96,1.00,15.00,0.35,20.49,0.96,5.76,0.30,166.55,1.94,30.25,56.25,104.96,,,
NH3,SH2,4.00,3.00,3.00,2.00,2.50,6.00,2.41,2.33,0.42,0.56,13.83,12.52,10.07,10.46,0.55,1.20,1.29,1.40,8.00,8.00,3.50,2.50,4.25,2.37,0.49,13.18,10.27,0.87,1.34,8.00,0.08,4.74,0.14,0.98,0.11,2.69,1.31,26.35,0.65,1.74,0.00,16.00,0.39,20.53,0.76,5.61,0.24,173.59,1.81,18.06,64.00,105.37,,,
NH3,F,4.00,1.00,3.00,0.00,2.50,9.00,2.41,3.98,0.42,0.64,13.83,17.42,10.07,17.42,0.55,3.40,1.29,1.47,8.00,7.00,2.50,1.50,5.75,3.20,0.53,15.63,13.75,1.97,1.38,7.50,1.57,6.39,0.22,1.06,0.18,2.76,3.59,31.25,2.85,3.95,1.00,15.00,7.35,27.49,3.90,10.21,0.28,244.20,1.90,33.06,56.25,188.93,,,
NH3,Cl,4.00,1.00,3.00,0.00,2.50,17.00,2.41,3.16,0.42,0.99,13.83,12.97,10.07,12.97,0.55,3.61,1.29,1.75,8.00,7.00,2.50,1.50,9.75,2.79,0.71,13.40,11.52,2.08,1.52,7.50,0.75,5.57,0.57,1.41,0.46,3.04,0.87,26.80,3.06,4.16,1.00,15.00,2.90,23.04,4.33,7.76,0.50,179.55,2.31,95.06,56.25,132.71,,,
NH3,Br,4.00,1.00,3.00,0.00,2.50,35.00,2.41,2.96,0.42,1.14,13.83,11.81,10.07,11.81,0.55,3.36,1.29,1.85,8.00,7.00,2.50,1.50,18.75,2.69,0.78,12.82,10.94,1.96,1.57,7.50,0.55,5.37,0.72,1.56,0.56,3.14,2.02,25.65,2.82,3.91,1.00,15.00,1.74,21.88,3.82,7.21,0.61,164.43,2.46,351.56,56.25,119.68,,,
NH3,I,4.00,1.00,3.00,0.00,2.50,53.00,2.41,2.66,0.42,1.33,13.83,10.45,10.07,10.45,0.55,3.06,1.29,1.98,8.00,7.00,2.50,1.50,27.75,2.54,0.88,12.14,10.26,1.80,1.63,7.50,0.25,5.07,0.91,1.75,0.69,3.27,3.38,24.28,2.51,3.61,1.00,15.00,0.38,20.52,3.25,6.43,0.77,147.42,2.67,770.06,56.25,105.27,,,
C,O,1.00,1.00,0.00,0.00,6.00,8.00,2.55,3.44,0.75,0.63,11.26,13.62,11.26,13.62,1.26,1.46,1.70,1.52,4.00,6.00,1.00,0.00,7.00,3.00,0.69,12.44,12.44,1.36,1.61,5.00,0.89,5.99,0.12,1.38,0.18,3.22,2.36,24.88,0.20,2.72,2.00,10.00,2.36,24.88,1.85,8.97,0.48,154.73,2.59,49.00,25.00,154.75,,,
C,OH,1.00,2.00,0.00,1.00,6.00,4.50,2.55,2.82,0.75,0.48,11.26,13.61,11.26,13.02,1.26,1.11,1.70,1.36,4.00,7.00,1.50,0.50,5.25,2.69,0.62,12.43,12.14,1.18,1.53,5.50,0.27,5.37,0.27,1.23,0.34,3.06,2.35,24.87,0.15,2.37,3.00,11.00,1.76,24.28,1.40,7.21,0.38,154.60,2.34,27.56,30.25,147.38,0.10244 ,0.15317 ,-0.05073 
C,N,1.00,1.00,0.00,0.00,6.00,7.00,2.55,3.04,0.75,0.71,11.26,14.53,11.26,14.53,1.26,-0.07,1.70,1.55,4.00,5.00,1.00,0.00,6.50,2.80,0.73,12.90,12.90,0.60,1.63,4.50,0.49,5.59,0.04,1.46,0.15,3.25,3.27,25.79,1.33,1.19,1.00,9.00,3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,-0.13006 ,0.09894 ,-0.22900 
C,NH,1.00,2.00,0.00,1.00,6.00,4.00,2.55,2.62,0.75,0.52,11.26,14.07,11.26,12.80,1.26,0.34,1.70,1.38,4.00,6.00,1.50,0.50,5.00,2.59,0.64,12.66,12.03,0.80,1.54,5.00,0.07,5.17,0.23,1.27,0.33,3.08,2.81,25.33,0.92,1.60,2.00,10.00,1.54,24.06,0.64,6.68,0.40,160.35,2.36,25.00,25.00,144.72,,,
C,NH2,1.00,3.00,0.00,2.00,6.00,3.00,2.55,2.48,0.75,0.45,11.26,13.91,11.26,10.78,1.26,0.48,1.70,1.32,4.00,7.00,2.00,1.00,4.50,2.52,0.60,12.59,11.02,0.87,1.51,5.50,0.07,5.03,0.30,1.20,0.38,3.02,2.65,25.17,0.78,1.74,3.00,11.00,0.48,22.04,0.76,6.33,0.36,158.38,2.28,20.25,30.25,121.44,0.14351 ,0.18926 ,-0.04575 
C,NH3,1.00,4.00,0.00,3.00,6.00,2.50,2.55,2.41,0.75,0.42,11.26,13.83,11.26,10.07,1.26,0.55,1.70,1.29,4.00,8.00,2.50,1.50,4.25,2.48,0.59,12.55,10.67,0.91,1.49,6.00,0.14,4.96,0.33,1.17,0.41,2.99,2.57,25.09,0.71,1.81,4.00,12.00,1.19,21.33,0.82,6.15,0.34,157.40,2.23,18.06,36.00,113.74,0.08879 ,0.12083 ,-0.03204 
C,C,1.00,1.00,0.00,0.00,6.00,6.00,2.55,2.55,0.75,0.75,11.26,11.26,11.26,11.26,1.26,1.26,1.70,1.70,4.00,4.00,1.00,0.00,6.00,2.55,0.75,11.26,11.26,1.26,1.70,4.00,0.00,5.10,0.00,1.50,0.00,3.40,0.00,22.52,0.00,2.52,0.00,8.00,0.00,22.52,1.59,6.50,0.56,126.79,2.89,36.00,16.00,126.79,,,
C,CH,1.00,2.00,0.00,1.00,6.00,3.50,2.55,2.38,0.75,0.54,11.26,12.43,11.26,10.64,1.26,1.01,1.70,1.45,4.00,5.00,1.50,0.50,4.75,2.46,0.65,11.84,10.95,1.14,1.58,4.50,0.18,4.93,0.21,1.29,0.25,3.15,1.17,23.69,0.25,2.27,1.00,9.00,0.62,21.90,1.29,6.06,0.42,140.29,2.48,22.56,20.25,119.90,,,
C,CH2,1.00,3.00,0.00,2.00,6.00,2.67,2.55,2.32,0.75,0.46,11.26,12.82,11.26,10.40,1.26,0.92,1.70,1.37,4.00,6.00,2.00,1.00,4.33,2.43,0.61,12.04,10.83,1.09,1.53,5.00,0.23,4.87,0.29,1.21,0.33,3.07,1.56,24.08,0.34,2.18,2.00,10.00,0.86,21.66,1.19,5.92,0.37,144.95,2.35,18.78,25.00,117.29,,,
C,CH3,1.00,4.00,0.00,3.00,6.00,2.25,2.55,2.29,0.75,0.43,11.26,13.01,11.26,9.84,1.26,0.88,1.70,1.33,4.00,7.00,2.50,1.50,4.13,2.42,0.59,12.14,10.55,1.07,1.51,5.50,0.26,4.84,0.32,1.18,0.38,3.03,1.75,24.27,0.38,2.14,3.00,11.00,1.42,21.10,1.15,5.85,0.35,147.30,2.29,17.02,30.25,111.30,,,
C,S,1.00,1.00,0.00,0.00,6.00,16.00,2.55,2.58,0.75,1.03,11.26,10.36,11.26,10.36,1.26,2.08,1.70,1.80,4.00,6.00,1.00,0.00,11.00,2.57,0.89,10.81,10.81,1.67,1.75,5.00,0.03,5.13,0.28,1.78,0.10,3.50,0.90,21.62,0.82,3.34,2.00,10.00,0.90,21.62,2.79,6.58,0.79,116.86,3.06,121.00,25.00,116.86,,,
C,SH,1.00,2.00,0.00,1.00,6.00,8.50,2.55,2.39,0.75,0.68,11.26,11.98,11.26,10.42,1.26,1.42,1.70,1.50,4.00,7.00,1.50,0.50,7.25,2.47,0.72,11.62,10.84,1.34,1.60,5.50,0.16,4.94,0.07,1.43,0.20,3.20,0.72,23.24,0.15,2.68,3.00,11.00,0.84,21.68,1.79,6.10,0.51,135.01,2.56,52.56,30.25,117.51,,,
C,SH2,1.00,3.00,0.00,2.00,6.00,6.00,2.55,2.33,0.75,0.56,11.26,12.52,11.26,10.46,1.26,1.20,1.70,1.40,4.00,8.00,2.00,1.00,6.00,2.44,0.66,11.89,10.86,1.23,1.55,6.00,0.22,4.88,0.19,1.31,0.30,3.10,1.26,23.78,0.07,2.46,4.00,12.00,0.80,21.72,1.51,5.95,0.43,141.36,2.40,36.00,36.00,117.94,,,
C,F,1.00,1.00,0.00,0.00,6.00,9.00,2.55,3.98,0.75,0.64,11.26,17.42,11.26,17.42,1.26,3.40,1.70,1.47,4.00,7.00,1.00,0.00,7.50,3.27,0.70,14.34,14.34,2.33,1.59,5.50,1.43,6.53,0.11,1.39,0.23,3.17,6.16,28.68,2.14,4.66,3.00,11.00,6.16,28.68,5.44,10.66,0.48,205.66,2.51,56.25,30.25,205.64,,,
C,Cl,1.00,1.00,0.00,0.00,6.00,17.00,2.55,3.16,0.75,0.99,11.26,12.97,11.26,12.97,1.26,3.61,1.70,1.75,4.00,7.00,1.00,0.00,11.50,2.86,0.87,12.11,12.12,2.44,1.73,5.50,0.61,5.71,0.24,1.74,0.05,3.45,1.71,24.23,2.35,4.87,3.00,11.00,1.71,24.23,5.94,8.15,0.76,146.74,2.98,132.25,30.25,146.77,,,
